SiteID,fire_age,treatment,age_treatment,age_treatment_revised,Elevation,Slope,Aspect_deg,Aspect,Folded_aspect,seedling_total,seedling_per_ha,juniper_total,juniper_per_ha,pinyon_total,pinyon_per_ha,pinyon_nurse,pinyon_interspace,juniper_nurse,juniper_interspace,P_1_nurse,P_2_nurse,P_3_nurse,P_4_nurse,P_1_interspace,P_2_interspace,P_3_interspace,P_4_interspace,J_1_nurse,J_2_nurse,J_3_nurse,J_4_nurse,J_1_interspace,J_2_interspace,J_3_interspace,J_4_interspace,G_1,G_2,G_3,G_4,G_total,G_per_ha,percent_rock,percent_soil,percent_bareground,percent_litter,percent_tree,percent_grass,percent_shrub,percent_forb,Percent_Canopy_Cover,total_trees,trees_live,trees_live_per_ha,trees_dead,juniper_all,juniper_live,juniper_live_per_ha,juniper_dead,pinyon_all,pinyon_live,pinyon_live_per_ha,pinyon_dead,BA_Sum_m2_all,BA_all_ha,BA_live_plot,BA_all_live_ha,BA_live_j_plot,BA_live_juniper_ha,BA_live_p_plot,BA_live_pinyon_ha
BCB1,old,burn,oldburn,oldburn,2118,27,42,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04040404,69.6969697,73.73737374,26.26262626,0,34.34343434,11.11111111,15.15151515,3.846153846,1,0,0,1,1,0,0,1,0,0,0,0,0.041939174,0.838783484,0,0,0,0,0,0
BCB2,old,burn,oldburn,oldburn,2062,8,130,E,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,8,160,3,27,30,70,0,47,10,5,0,2,0,0,2,2,0,0,2,0,0,0,0,0.147868382,2.957367634,0,0,0,0,0,0
BCB3,old,burn,oldburn,oldburn,2001,35,250,W,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,30,70,0,46,19,2,3.846153846,10,0,0,10,10,0,0,10,0,0,0,0,0.651655052,13.03310103,0,0,0,0,0,0
BCR2,old,refugia,oldrefugia,oldrefugia,2126,34,80,E,35,31,620,19,380,12,240,11,1,9,10,5,3,1,2,0,0,1,0,4,3,1,1,0,2,2,6,10,1,0,20,31,620,9,61,70,30,1,23,10,10,16,14,12,240,2,9,8,160,1,5,4,80,1,1.25756242,25.15124841,1.201138759,24.02277518,1.131922156,22.63844311,0.069216604,1.38433207
BCR3,old,refugia,oldrefugia,oldrefugia,1849,60,124,E,79,6,120,3,60,3,60,2,1,2,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,54,18,72,28,1,10,1,4,18,17,17,340,0,16,16,320,0,1,1,20,0,3.322584355,66.4516871,3.322584355,66.4516871,3.321728453,66.43456907,0.000855902,0.01711803
BCU1,old,unburn,oldunburn,unburn,1832,45,70,E,25,6,120,6,120,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,1,,1,0,2,0,0,0,0,0,0,0,17.10526316,50,67.10526316,32.89473684,10.52631579,19.73684211,9.210526316,0,20.83333333,24,24,480,0,0,0,0,0,24,24,480,0,1.615471059,32.30942119,1.615471059,32.30942119,1.615471059,32.30942119,0,0
BCU2,old,unburn,oldunburn,unburn,1733,24,70,E,25,13,260,10,200,3,60,3,0,6,4,2,0,1,0,0,0,0,0,6,0,0,0,0,2,1,1,0,0,0,0,0,0,34,16,50,50,18,3,4,5,45.83333333,25,22,440,3,24,21,420,3,1,1,20,0,4.062645423,81.25290846,3.906000253,78.12000505,3.870265098,77.40530196,0.035735154,0.714703087
BCU3,old,unburn,oldunburn,unburn,1675,12,338,N,67,12,240,11,220,1,20,0,1,2,9,0,0,0,0,0,1,0,0,1,0,0,1,1,3,1,4,0,0,0,0,0,0,34.375,23.95833333,58.33333333,41.66666667,9.375,2.083333333,0,0,23.07692308,30,27,540,3,26,26,520,0,4,1,20,3,1.2081531,24.163062,1.130255933,22.60511866,1.127090617,22.54181234,0.003165316,0.063306325
HTB1,old,burn,oldburn,oldburn,2063,65,320,N,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,22,78,0,26,21,24,0,14,0,0,14,14,0,0,14,0,0,0,0,0.082895834,1.657916684,0,0,0,0,0,0
HTB2,old,burn,oldburn,oldburn,2042,63,52,E,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,28,72,0,31,28,10,5.769230769,2,0,0,2,2,0,0,2,0,0,0,0,0.119167826,2.383356524,0,0,0,0,0,0
HTB3,old,burn,oldburn,oldburn,2014,32,274,W,131,3,60,3,60,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,20,48,42,59,169,3380,0,21,21,79,0,27,28,14,23.07692308,2,0,0,2,2,0,0,2,0,0,0,0,0.048872483,0.977449658,0,0,0,0,0,0
HTR1,old,refugia,oldrefugia,oldrefugia,2003,21,154,S,109,6,120,3,60,3,60,1,2,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,22,43,33,33,131,2620,7.070707071,34.34343434,41.41414141,58.58585859,4.04040404,3.03030303,17.17171717,1.01010101,32.69230769,26,26,520,0,17,17,340,0,9,9,180,0,2.471691637,49.43383275,2.471691637,49.43383275,2.184058083,43.68116167,0.287633554,5.752671075
HTR2,old,refugia,oldrefugia,oldrefugia,2065,34,172,S,127,16,320,14,280,2,40,2,0,7,7,0,1,1,0,0,0,0,0,1,3,0,3,2,2,0,3,0,8,7,3,18,360,5,33,38,62,2,0,19,10,32.69230769,19,19,380,0,13,13,260,0,6,6,120,0,1.923514572,38.47029145,1.923514572,38.47029145,1.751767045,35.0353409,0.171747527,3.434950549
HTR3,old,refugia,oldrefugia,oldrefugia,2091,55,253,W,152,33,660,22,440,11,220,8,3,12,10,2,3,3,0,1,1,0,1,1,4,5,2,1,3,2,4,48,83,78,45,254,5080,4,9,13,87,5,3,8,2,65.38461538,44,43,860,1,24,24,480,0,20,19,380,1,2.678222192,53.56444384,2.677082678,53.54165356,2.022414245,40.44828491,0.654668433,13.09336865
HTU1,old,unburn,oldunburn,unburn,2029,44,33,N,12,6,120,2,40,4,80,3,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11,36,47,53,0,36,19,14,0,6,6,120,0,4,4,80,0,2,2,40,0,0.066132319,1.322646387,0.066132319,1.322646387,0.057370724,1.147414479,0.008761595,0.175231908
HTU2,old,unburn,oldunburn,unburn,1928,89,135,S,90,10,200,7,140,3,60,3,0,4,3,0,1,2,0,0,0,0,0,1,1,2,0,0,0,1,2,5,7,3,4,19,380,14,50,64,36,8,18,9,5,11.53846154,15,13,260,2,14,12,240,2,1,1,20,0,1.099367511,21.98735022,0.861771276,17.23542553,0.815096789,16.30193578,0.046674487,0.933489746
HTU3,old,unburn,oldunburn,unburn,1866,62,296,W,109,43,860,43,860,0,0,0,0,21,22,0,0,0,0,0,0,0,0,3,8,7,3,1,6,6,9,6,8,9,5,28,560,16,41,57,43,6,24,14,7,26.92307692,37,37,740,0,37,37,740,0,0,0,0,0,0.809019382,16.18038764,0.809019382,16.18038764,0.809019382,16.18038764,0,0
PGB1,recent,burn,recentburn,recentburn,1925,45,308,W,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,309,110,24,624,12480,6,76,82,18,0,0,2,0,17.30769231,20,0,0,20,6,0,0,6,14,0,0,14,0.641460201,12.82920402,0,0,0,0,0,0
PGB2,recent,burn,recentburn,recentburn,1963,38,212,S,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,146,68,25,353,7060,19,66,85,15,0,3,0,6,10,34,0,0,34,20,0,0,20,14,0,0,14,1.257045841,25.14091681,0,0,0,0,0,0
PGB3,recent,burn,recentburn,recentburn,2065,35,358,N,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,68,84,16,0,0,2,7,7.692307692,21,0,0,21,14,0,0,14,7,0,0,7,0.390372122,7.80744245,0,0,0,0,0,0
