Pt,V1,V2,V3
BCB1PC1,0,0,0
BCB1PC2,0,0,0
BCB1PC3,0,0,0
BCB1PC4,0,0,0
BCB2PC1,0,0,0
BCB2PC2,0,0,0
BCB2PC3,0,0,0
BCB2PC4,0,0,0
BCB3PC1,1,0,0
BCB3PC2,0,0,0
BCB3PC3,0,0,0
BCB3PC4,0,0,0
BCR2PC1,0,0,0
BCR2PC2,0,0,0
BCR2PC3,0,0,0
BCR2PC4,0,0,0
BCR3PC1,0,0,0
BCR3PC2,0,0,0
BCR3PC3,0,0,0
BCR3PC4,0,0,0
BCU1PC1,0,0,0
BCU1PC2,1,0,0
BCU1PC3,0,1,0
BCU1PC4,0,0,0
BCU2PC1,0,0,0
BCU2PC2,0,0,0
BCU2PC3,0,0,0
BCU2PC4,0,1,0
BCU3PC1,1,0,0
BCU3PC2,1,0,0
BCU3PC3,0,0,0
BCU3PC4,0,0,0
HTB1PC1,0,0,0
HTB1PC2,0,0,0
HTB1PC3,0,0,0
HTB1PC4,0,0,0
HTB2PC1,0,0,0
HTB2PC2,0,0,0
HTB2PC3,0,0,0
HTB2PC4,0,0,0
HTB3PC1,0,0,0
HTB3PC2,0,0,0
HTB3PC3,0,0,0
HTB3PC4,0,0,0
HTR1PC1,0,0,1
HTR1PC2,0,0,0
HTR1PC3,0,0,0
HTR1PC4,0,0,1
HTR2PC1,0,0,0
HTR2PC2,0,0,0
HTR2PC3,0,0,0
HTR2PC4,0,0,0
HTR3PC1,0,0,0
HTR3PC2,0,0,0
HTR3PC3,0,0,0
HTR3PC4,0,0,0
HTU1PC1,0,0,0
HTU1PC2,0,0,0
HTU1PC3,0,0,0
HTU1PC4,0,0,0
HTU2PC1,0,0,0
HTU2PC2,0,0,0
HTU2PC3,0,0,0
HTU2PC4,0,0,0
HTU3PC1,0,1,0
HTU3PC2,0,0,0
HTU3PC3,0,0,0
HTU3PC4,0,0,0
PGB1PC1,0,0,1
PGB1PC2,0,0,0
PGB1PC3,0,0,0
PGB1PC4,0,1,1
PGB2PC1,0,0,1
PGB2PC2,0,0,1
PGB2PC3,0,0,0
PGB2PC4,0,0,1
PGB3PC1,0,0,0
PGB3PC2,0,0,0
PGB3PC3,0,0,0
PGB3PC4,0,0,0
PGB4PC1,0,0,0
PGB4PC2,0,0,0
PGB4PC3,0,0,0
PGB4PC4,0,0,0
PGB5PC1,0,0,0
PGB5PC2,0,0,0
PGB5PC3,0,0,0
PGB5PC4,0,0,0
PGB6PC1,0,0,0
PGB6PC2,0,0,0
PGB6PC3,0,1,0
PGB6PC4,0,1,0
PGR1PC1,0,0,1
PGR1PC2,0,0,1
PGR1PC3,0,0,1
PGR1PC4,0,1,1
PGR2PC1,0,0,1
PGR2PC2,0,0,0
PGR2PC3,0,0,0
PGR2PC4,0,0,1
PGR3PC1,0,0,0
PGR3PC2,0,0,1
PGR3PC3,0,0,0
PGR3PC4,0,0,0
PGR4PC1,0,0,0
PGR4PC2,0,0,0
PGR4PC3,0,0,0
PGR4PC4,0,0,0
PGR5PC1,0,0,0
PGR5PC2,0,0,0
PGR5PC3,0,0,0
PGR6PC1,0,0,0
PGR6PC2,0,0,0
PGR6PC3,0,0,0
PGU1PC1,0,0,0
PGU1PC2,0,0,0
PGU1PC3,0,0,0
PGU1PC4,0,0,0
PGU2PC1,0,0,0
PGU2PC2,0,0,0
PGU2PC3,0,0,0
PGU2PC4,0,1,0
PGU3PC1,0,0,0
PGU3PC2,0,1,0
PGU3PC3,0,0,0
PGU3PC4,0,0,1
