Pt,V1,V2,V3
BCB1PC1,Jamie,Jamie,Maria
BCB1PC2,Maria,Gabriela,Maria
BCB1PC3,Jamie,Maria,Gabriela
BCB1PC4,Maria,Jamie,Jamie
BCB2PC1,Maria,Jamie,Gabriela
BCB2PC2,Maria,Maria,Maria
BCB2PC3,Jamie,Gabriela,Jamie
BCB2PC4,Jamie,Jamie,Maria
BCB3PC1,Jamie,Gabriela,Jamie
BCB3PC2,Jamie,Maria,Maria
BCB3PC3,Maria,Jamie,Gabriela
BCB3PC4,Jamie,Gabriela,Jamie
BCR2PC1,Gabriela,Maria,Jamie
BCR2PC2,Jamie,Maria,Jamie
BCR2PC3,Jamie,Gabriela,Maria
BCR2PC4,Jamie,Jamie,Gabriela
BCR3PC1,Jamie,Jamie,Jamie
BCR3PC2,Maria,Gabriela,Gabriela
BCR3PC3,Maria,Maria,Maria
BCR3PC4,Jamie,Jamie,Gabriela
BCU1PC1,Maria,Maria,Jamie
BCU1PC2,Maria,Gabriela,Gabriela
BCU1PC3,Jamie,Maria,Maria
BCU1PC4,Jamie,Jamie,Jamie
BCU2PC1,Maria,Gabriela,Gabriela
BCU2PC2,Gabriela,Gabriela,Gabriela
BCU2PC3,Maria,Jamie,Maria
BCU2PC4,Gabriela,Maria,Jamie
BCU3PC1,Maria,Gabriela,Jamie
BCU3PC2,Maria,Maria,Gabriela
BCU3PC3,Jamie,Jamie,Maria
BCU3PC4,Gabriela,Jamie,Maria
HTB1PC1,Maria,Gabriela,Jamie
HTB1PC2,Maria,Jamie,Maria
HTB1PC3,Jamie,Jamie,Maria
HTB1PC4,Jamie,Maria,Gabriela
HTB2PC1,Maria,Jamie,Jamie
HTB2PC2,Maria,Jamie,Jamie
HTB2PC3,Jamie,Gabriela,Gabriela
HTB2PC4,Jamie,Maria,Maria
HTB3PC1,Jamie,Maria,Jamie
HTB3PC2,Maria,Jamie,Jamie
HTB3PC3,Maria,Jamie,Maria
HTB3PC4,Jamie,Gabriela,Gabriela
HTR1PC1,Maria,Jamie,Maria
HTR1PC2,Jamie,Gabriela,Jamie
HTR1PC3,Jamie,Maria,Gabriela
HTR1PC4,Maria,Jamie,Maria
HTR2PC1,Maria,Jamie,Gabriela
HTR2PC2,Maria,Jamie,Gabriela
HTR2PC3,Jamie,Gabriela,Maria
HTR2PC4,Jamie,Maria,Jamie
HTR3PC1,Jamie,Jamie,Maria
HTR3PC2,Jamie,Jamie,Maria
HTR3PC3,Maria,Gabriela,Gabriela
HTR3PC4,Maria,Maria,Jamie
HTU1PC1,Maria,Jamie,Gabriela
HTU1PC2,Maria,Jamie,Gabriela
HTU1PC3,Jamie,Gabriela,Jamie
HTU1PC4,Jamie,Maria,Maria
HTU2PC1,Jamie,Gabriela,Jamie
HTU2PC2,Maria,Jamie,Maria
HTU2PC3,Jamie,Maria,Maria
HTU2PC4,Jamie,Jamie,Jamie
HTU3PC1,Jamie,Gabriela,Gabriela
HTU3PC2,Jamie,Jamie,Gabriela
HTU3PC3,Maria,Maria,Jamie
HTU3PC4,Gabriela,Maria,Maria
PGB1PC1,Maria,Jamie,Jamie
PGB1PC2,Maria,Maria,Maria
PGB1PC3,Jamie,Gabriela,Gabriela
PGB1PC4,Maria,Jamie,Jamie
PGB2PC1,Jamie,Gabriela,Maria
PGB2PC2,Maria,Jamie,Maria
PGB2PC3,Maria,Jamie,Gabriela
PGB2PC4,Jamie,Maria,Jamie
PGB3PC1,Jamie,Gabriela,Maria
PGB3PC2,Jamie,Jamie,Jamie
PGB3PC3,Jamie,Maria,Gabriela
PGB3PC4,Jamie,Jamie,Jamie
PGB4PC1,Jamie,Jamie,Gabriela
PGB4PC2,Maria,Jamie,Gabriela
PGB4PC3,Maria,Maria,Jamie
PGB4PC4,Jamie,Gabriela,Maria
PGB5PC1,Jamie,Jamie,Jamie
PGB5PC2,Maria,Jamie,Jamie
PGB5PC3,Maria,Maria,Maria
PGB5PC4,Jamie,Gabriela,Gabriela
PGB6PC1,Maria,Maria,Maria
PGB6PC2,Maria,Gabriela,Jamie
PGB6PC3,Maria,Maria,Gabriela
PGB6PC4,Maria,Jamie,Gabriela
PGR1PC1,Jamie,Gabriela,Jamie
PGR1PC2,Jamie,Maria,Jamie
PGR1PC3,Maria,Jamie,Gabriela
PGR1PC4,Maria,Jamie,Maria
PGR2PC1,Jamie,Jamie,Gabriela
PGR2PC2,Maria,Maria,Jamie
