age_treatment_revised,seedling_per_ha,juniper_per_ha,pinyon_per_ha,G_per_ha
Old Burn,0,0,0,0
Old Burn,0,0,0,160
Old Burn,0,0,0,0
Old Refugia,620,380,240,620
Old Refugia,120,60,60,0
Unburned,120,120,0,0
Unburned,260,200,60,0
Unburned,240,220,20,0
Old Burn,0,0,0,0
Old Burn,0,0,0,0
Old Burn,60,60,0,3380
Old Refugia,120,60,60,2620
Old Refugia,320,280,40,360
Old Refugia,660,440,220,5080
Unburned,120,40,80,0
Unburned,200,140,60,380
Unburned,860,860,0,560
Recent Burn,0,0,0,12480
Recent Burn,0,0,0,7060
Recent Burn,0,0,0,0
Recent Burn,0,0,0,0
Recent Burn,0,0,0,860
Recent Burn,0,0,0,7340
Recent Refugia,220,120,100,660
Recent Refugia,80,60,20,0
Recent Refugia,1020,540,480,1220
Recent Refugia,20,20,0,460
Recent Refugia,540,280,260,0
Recent Refugia,360,180,180,2140
Unburned,60,60,0,0
Unburned,60,20,40,140
Unburned,780,320,460,560
